"head"	"relation"	"tail"
"mondo.0014269"	"associated"	"uniprot.Q9HD34"
"drugbank.DB00285"	"SE"	"meddra.10053198"
"drugbank.DB00882"	"target"	"uniprot.P08173"
"drugbank.DB00323"	"SE"	"meddra.10013836"
"mondo.0011493"	"symptom"	"hpo.0007957"
"drugbank.DB01072"	"SE"	"meddra.10008635"
"mondo.0011380"	"associated"	"uniprot.P22307"
"mondo.0011671"	"symptom"	"hpo.0002345"
"mondo.0001881"	"symptom"	"hpo.0002789"
"mondo.0020735"	"associated"	"uniprot.P47871"
"drugbank.DB01242"	"SE"	"meddra.10021133"
"mondo.0012546"	"symptom"	"hpo.0000097"
"drugbank.DB00230"	"SE"	"meddra.10039073"
"mondo.0008742"	"symptom"	"hpo.0001028"
"mondo.0010586"	"symptom"	"hpo.0100790"
"drugbank.DB00472"	"SE"	"meddra.10010071"
"mondo.0013170"	"symptom"	"hpo.0000973"
"drugbank.DB01043"	"SE"	"meddra.10022763"
"mondo.0015280"	"associated"	"uniprot.Q15283"
"mondo.0007576"	"associated"	"uniprot.P55290"
"drugbank.DB00964"	"SE"	"meddra.10005159"
"drugbank.DB00230"	"SE"	"meddra.10005872"
"mondo.0010264"	"associated"	"uniprot.O43918"
"mondo.0008383"	"associated"	"uniprot.P02458"
"drugbank.DB00820"	"SE"	"meddra.10027313"
"mondo.0007576"	"associated"	"uniprot.P17931"
"mondo.0010533"	"symptom"	"hpo.0002445"
"mondo.0009068"	"symptom"	"hpo.0002352"
"drugbank.DB00471"	"target"	"uniprot.P41595"
"mondo.0009903"	"symptom"	"hpo.0002558"
"mondo.0013145"	"symptom"	"hpo.0001663"
"mondo.0014159"	"associated"	"uniprot.O15020"
"drugbank.DB01115"	"target"	"uniprot.O00337"
"drugbank.DB00571"	"target"	"uniprot.P50406"
"mondo.0008846"	"associated"	"uniprot.P02787"
"drugbank.DB00399"	"SE"	"meddra.10015084"
"mondo.0014671"	"symptom"	"hpo.0000575"
"mondo.0014088"	"symptom"	"hpo.0002083"
"drugbank.DB06616"	"target"	"uniprot.Q9P289"
"drugbank.DB06626"	"target"	"uniprot.P57078"
"drugbank.DB06819"	"target"	"uniprot.Q13547"
"mondo.0010473"	"symptom"	"hpo.0004749"
"mondo.0017380"	"symptom"	"hpo.0002573"
"mondo.0011173"	"symptom"	"hpo.0001894"
"mondo.0007849"	"associated"	"uniprot.Q96P20"
"mondo.0007768"	"symptom"	"hpo.0012032"
"mondo.0011740"	"associated"	"uniprot.P04637"
"mondo.0012407"	"symptom"	"hpo.0001298"
"drugbank.DB00588"	"SE"	"meddra.10039100"
"drugbank.DB00537"	"SE"	"meddra.10046851"
"mondo.0010537"	"associated"	"uniprot.Q8IWS0"
"mondo.0013060"	"symptom"	"hpo.0011999"
"mondo.0013325"	"symptom"	"hpo.0001433"
"drugbank.DB00248"	"target"	"uniprot.P18089"
"mondo.0007576"	"associated"	"uniprot.P60709"
"mondo.0010848"	"associated"	"uniprot.O95932"
"drugbank.DB01110"	"target"	"uniprot.P04626"
"drugbank.DB00904"	"target"	"uniprot.O15245"
"drugbank.DB00213"	"target"	"uniprot.P05023"
"mondo.0009287"	"symptom"	"hpo.0000823"
"mondo.0009567"	"associated"	"uniprot.Q9BT40"
"mondo.0007918"	"symptom"	"hpo.0000541"
"mondo.0018998"	"associated"	"uniprot.O95237"
"mondo.0019186"	"symptom"	"hpo.0012819"
"mondo.0008383"	"symptom"	"hpo.0001386"
"mondo.0018940"	"symptom"	"hpo.0000961"
"mondo.0019338"	"symptom"	"hpo.0011850"
"mondo.0009717"	"associated"	"uniprot.P0DI81"
"mondo.0012590"	"symptom"	"hpo.0003073"
"mondo.0008383"	"associated"	"uniprot.P07339"
"drugbank.DB01268"	"target"	"uniprot.P45985"
"mondo.0014895"	"associated"	"uniprot.Q8N442"
"mondo.0013293"	"symptom"	"hpo.0007906"
"drugbank.DB01242"	"SE"	"meddra.10008114"
